gender,agegroup,crude,province,year
F,65-76,10.2,namur,2013
F,75+,10.3,namur,2013
F,T,20.9,namur,2013
T,T,15.4,namur,2013
M,15-27,3,antwerp,2008
M,25-37,1.1,antwerp,2008
M,35-47,5,antwerp,2008
M,45-57,4.7,antwerp,2008
M,55-67,13.3,antwerp,2008
M,65-77,19.4,antwerp,2008
M,75+,11.2,antwerp,2008
M,T,7.3,antwerp,2008
F,T,5.2,antwerp,2008
F,15-27,4.9,antwerp,2008
F,25-37,12.4,antwerp,2008
F,35-47,23.3,antwerp,2008
F,45-57,8.3,antwerp,2008
F,55-67,24,antwerp,2008
F,65-77,11.1,antwerp,2008
F,75+,12.8,antwerp,2008
T,T,10.1,antwerp,2008
M,15-27,0,vlaams brabant,2008
M,25-37,1.4,vlaams brabant,2008
M,35-47,0,vlaams brabant,2008
M,45-57,2.6,vlaams brabant,2008
M,55-67,5.8,vlaams brabant,2008
M,65-77,2.3,vlaams brabant,2008
M,75+,3,vlaams brabant,2008
M,T,2.1,vlaams brabant,2008
T,T,12.7,vlaams brabant,2008
F,15-27,10.7,vlaams brabant,2008
F,25-37,0,vlaams brabant,2008
F,35-47,14.3,vlaams brabant,2008
F,45-57,6.8,vlaams brabant,2008
F,55-67,14.9,vlaams brabant,2008
F,65-77,12.6,vlaams brabant,2008
F,75+,9.5,vlaams brabant,2008
F,T,6.1,vlaams brabant,2008
M,15-27,1.3,west-vlaanderen,2008
M,25-37,6.8,west-vlaanderen,2008
M,35-47,1.4,west-vlaanderen,2008
M,45-57,3.7,west-vlaanderen,2008
M,55-67,4.6,west-vlaanderen,2008
M,65-77,10.3,west-vlaanderen,2008
M,75+,3.7,west-vlaanderen,2008
M,T,4.2,west-vlaanderen,2008
F,15-27,8.4,west-vlaanderen,2008
F,25-37,6.8,west-vlaanderen,2008
F,35-47,1.7,west-vlaanderen,2008
F,45-57,15.4,west-vlaanderen,2008
F,55-67,9.9,west-vlaanderen,2008
F,65-77,9.6,west-vlaanderen,2008
F,75+,5.4,west-vlaanderen,2008
F,T,8.4,west-vlaanderen,2008
T,T,6.3,west-vlaanderen,2008
M,15-27,0,oost-vlaanderen,2008
M,25-37,3.4,oost-vlaanderen,2008
M,35-47,1.6,oost-vlaanderen,2008
M,45-57,2.1,oost-vlaanderen,2008
M,55-67,4.7,oost-vlaanderen,2008
M,65-77,9,oost-vlaanderen,2008
M,75+,8.5,oost-vlaanderen,2008
M,T,3.5,oost-vlaanderen,2008
F,15-27,3.7,oost-vlaanderen,2008
F,25-37,11,oost-vlaanderen,2008
F,35-47,26.8,oost-vlaanderen,2008
F,45-57,3.9,oost-vlaanderen,2008
F,55-67,12.3,oost-vlaanderen,2008
F,65-77,21.2,oost-vlaanderen,2008
F,75+,25.9,oost-vlaanderen,2008
F,T,14.6,oost-vlaanderen,2008
T,T,9.1,oost-vlaanderen,2008
M,15-28,7.1,limburg,2008
M,25-38,3.9,limburg,2008
M,35-48,5.7,limburg,2008
M,45-58,3.1,limburg,2008
M,55-68,2.1,limburg,2008
M,65-78,1.5,limburg,2008
M,75+,14.9,limburg,2008
M,T,4.7,limburg,2008
T,T,3.2,limburg,2008
F,15-28,6.6,limburg,2008
F,25-38,14.2,limburg,2008
F,35-48,12,limburg,2008
F,45-58,15,limburg,2008
F,55-68,12,limburg,2008
F,65-78,10.3,limburg,2008
F,75+,10.6,limburg,2008
F,T,7.7,limburg,2008
M,15-28,9.2,brussels,2008
M,25-38,8.1,brussels,2008
M,35-48,7.4,brussels,2008
M,45-58,9.9,brussels,2008
M,55-68,11.5,brussels,2008
M,65-78,13,brussels,2008
M,75+,15.8,brussels,2008
M,T,9.7,brussels,2008
F,T,16,brussels,2008
F,15-28,15,brussels,2008
F,25-38,14.6,brussels,2008
F,35-48,19.7,brussels,2008
F,45-58,18.9,brussels,2008
F,55-68,25.3,brussels,2008
F,65-78,19.2,brussels,2008
