name, year, amount, age, gender
Liege,2017,13019,5,T
Luxembourg,2017,1723,5,F
Luxembourg,2017,1764,5,M
Luxembourg,2017,3487,5,T
Namur,2017,2792,5,F
Namur,2017,2995,5,M
Namur,2017,5787,5,T
Bruxelles,2017,8247,6,F
Bruxelles,2017,8717,6,M
Bruxelles,2017,16964,6,T
Antwerpen,2017,10821,6,F
Antwerpen,2017,11295,6,M
Antwerpen,2017,22116,6,T
Limburg,2017,4620,6,F
Limburg,2017,4911,6,M
Limburg,2017,9531,6,T
Oost_Vlaanderen,2017,8342,6,F
Oost_Vlaanderen,2017,8686,6,M
Oost_Vlaanderen,2017,17028,6,T
Vlaams_Brabant,2017,6593,6,F
Vlaams_Brabant,2017,6857,6,M
Vlaams_Brabant,2017,13450,6,T
West_Vlaanderen,2017,6090,6,F
West_Vlaanderen,2017,6285,6,M
West_Vlaanderen,2017,12375,6,T
Brabant_Wallon,2017,2318,6,F
Brabant_Wallon,2017,2497,6,M
Brabant_Wallon,2017,4815,6,T
Hainaut,2017,7814,6,F
Hainaut,2017,8145,6,M
Hainaut,2017,15959,6,T
Liege,2017,6522,6,F
Liege,2017,6638,6,M
Liege,2017,13160,6,T
Luxembourg,2017,1739,6,F
Luxembourg,2017,1839,6,M
Luxembourg,2017,3578,6,T
Namur,2017,2779,6,F
Namur,2017,2982,6,M
Namur,2017,5761,6,T
Bruxelles,2017,8005,7,F
Bruxelles,2017,8423,7,M
Bruxelles,2017,16428,7,T
Antwerpen,2017,10529,7,F
Antwerpen,2017,11157,7,M
Antwerpen,2017,21686,7,T
Limburg,2017,4641,7,F
Limburg,2017,4826,7,M
Limburg,2017,9467,7,T
Oost_Vlaanderen,2017,8372,7,F
Oost_Vlaanderen,2017,8841,7,M
Oost_Vlaanderen,2017,17213,7,T
Vlaams_Brabant,2017,6550,7,F
Vlaams_Brabant,2017,6882,7,M
Vlaams_Brabant,2017,13432,7,T
West_Vlaanderen,2017,5962,7,F
West_Vlaanderen,2017,6270,7,M
West_Vlaanderen,2017,12232,7,T
Brabant_Wallon,2017,2337,7,F
Brabant_Wallon,2017,2497,7,M
Brabant_Wallon,2017,4834,7,T
Hainaut,2017,7860,7,F
Hainaut,2017,8223,7,M
Hainaut,2017,16083,7,T
Liege,2017,6524,7,F
Liege,2017,6548,7,M
Liege,2017,13072,7,T
Luxembourg,2017,1747,7,F
Luxembourg,2017,1765,7,M
Luxembourg,2017,3512,7,T
Namur,2017,2777,7,F
Namur,2017,3045,7,M
Namur,2017,5822,7,T
Bruxelles,2017,7691,8,F
Bruxelles,2017,8110,8,M
Bruxelles,2017,15801,8,T
Antwerpen,2017,10490,8,F
Antwerpen,2017,11324,8,M
Antwerpen,2017,21814,8,T
Limburg,2017,4659,8,F
Limburg,2017,4874,8,M
Limburg,2017,9533,8,T
Oost_Vlaanderen,2017,8616,8,F
Oost_Vlaanderen,2017,8831,8,M
Oost_Vlaanderen,2017,17447,8,T
Vlaams_Brabant,2017,6634,8,F
Vlaams_Brabant,2017,6878,8,M
Vlaams_Brabant,2017,13512,8,T
West_Vlaanderen,2017,6153,8,F
West_Vlaanderen,2017,6543,8,M
West_Vlaanderen,2017,12696,8,T
Brabant_Wallon,2017,2337,8,F
Brabant_Wallon,2017,2475,8,M
Brabant_Wallon,2017,4812,8,T
Hainaut,2017,7865,8,F
Hainaut,2017,8284,8,M
Hainaut,2017,16149,8,T
Liege,2017,6277,8,F
Liege,2017,6808,8,M
Liege,2017,13085,8,T
Luxembourg,2017,1790,8,F
Luxembourg,2017,1856,8,M
Luxembourg,2017,3646,8,T
Namur,2017,2857,8,F
Namur,2017,2956,8,M
Namur,2017,5813,8,T
Bruxelles,2017,7543,9,F
Bruxelles,2017,7825,9,M
